char	code	weight	source	note	old_code	status
処	ceju2	1	ruianese.character_01.dict.yaml:334	no valid mapping; tried ceju2	ceju2	unresolved
處	ceju2	1	ruianese.character_01.dict.yaml:335	no valid mapping; tried ceju2	ceju2	unresolved
䖏	ceju2	1	ruianese.character_01.dict.yaml:336	no valid mapping; tried ceju2	ceju2	unresolved
処	ceju4	1	ruianese.character_01.dict.yaml:337	no valid mapping; tried ceju4	ceju4	unresolved
處	ceju4	1	ruianese.character_01.dict.yaml:338	no valid mapping; tried ceju4	ceju4	unresolved
䖏	ceju4	1	ruianese.character_01.dict.yaml:339	no valid mapping; tried ceju4	ceju4	unresolved
冬	ddong5	1	ruianese.character_01.dict.yaml:340	already valid	ddong5	ok
鼕	ddong5	1	ruianese.character_01.dict.yaml:341	already valid	ddong5	ok
務	vju8	1	ruianese.character_01.dict.yaml:342	no valid mapping; tried vju8	vju8	unresolved
年	njie5	1	ruianese.character_01.dict.yaml:344	nyie5->njie5	nyie5	converted
秊	njie5	1	ruianese.character_01.dict.yaml:345	nyie5->njie5	nyie5	converted
硃	zeju1	1	ruianese.character_01.dict.yaml:346	no valid mapping; tried zeju1	zeju1	unresolved
朱	zeju1	1	ruianese.character_01.dict.yaml:347	no valid mapping; tried zeju1	zeju1	unresolved
丟	dou1	1	ruianese.character_01.dict.yaml:348	already valid	dou1	ok
喬	jjyu5	1	ruianese.character_01.dict.yaml:349	already valid	jjyu5	ok
乒	peng1	1	ruianese.character_01.dict.yaml:350	already valid	peng1	ok
乓	pong1	1	ruianese.character_01.dict.yaml:351	already valid	pong1	ok
甪	lou7	1	ruianese.character_01.dict.yaml:352	already valid	lou7	ok
向	xiae4	1	ruianese.character_01.dict.yaml:353	already valid	xiae4	ok
嚮	xiae4	1	ruianese.character_01.dict.yaml:354	already valid	xiae4	ok
曏	xiae4	1	ruianese.character_01.dict.yaml:355	already valid	xiae4	ok
囟	sang4	1	ruianese.character_01.dict.yaml:356	already valid	sang4	ok
顖	sang4	1	ruianese.character_01.dict.yaml:357	already valid	sang4	ok
後	hhao6	1	ruianese.character_01.dict.yaml:358	already valid	hhao6	ok
后	hhao6	1	ruianese.character_01.dict.yaml:359	already valid	hhao6	ok
殺	so3	1	ruianese.character_01.dict.yaml:360	already valid	so3	ok
兆	jyu6	1	ruianese.character_01.dict.yaml:361	already valid	jyu6	ok
汆	ce1	1	ruianese.character_01.dict.yaml:362	ceu1->ce1	ceu1	converted
危	njyu5	1	ruianese.character_01.dict.yaml:363	nyju5->njyu5	nyju5	converted
各	goe3	1	ruianese.character_01.dict.yaml:364	goo3->goe3; 各種	goo3	converted
各	goe2	1	ruianese.character_01.dict.yaml:365	goo2->goe2; 各自	goo2	converted
色	sei3	1	ruianese.character_01.dict.yaml:366	already valid	sei3	ok
我	ngvu5	1	ruianese.character_01.dict.yaml:368	no valid mapping; tried ngvu5	ngvu5	unresolved
每	mei6	1	ruianese.character_01.dict.yaml:369	already valid	mei6	ok
兵	beng1	1	ruianese.character_01.dict.yaml:370	already valid	beng1	ok
兔	teju4	1	ruianese.character_01.dict.yaml:371	no valid mapping; tried teju4	teju4	unresolved
囱	cong1	1	ruianese.character_01.dict.yaml:372	already valid	cong1	ok
希	xi1	1	ruianese.character_01.dict.yaml:373	xii1->xi1	xii1	converted
龜	ju1	1	ruianese.character_01.dict.yaml:374	no valid mapping; tried ju1	ju1	unresolved
龜	jiang1	1	ruianese.character_01.dict.yaml:375	already valid	jiang1	ok
龜	jiao1	1	ruianese.character_01.dict.yaml:376	already valid	jiao1	ok
卵	lang6	1	ruianese.character_01.dict.yaml:377	already valid	lang6	ok
係	ji4	1	ruianese.character_01.dict.yaml:378	jii4->ji4	jii4	converted
